court,jurisdiction,name,year,published,unpublished
ala,S,Supreme Court of Alabama,1990,628,0
ala,S,Supreme Court of Alabama,1991,785,0
ala,S,Supreme Court of Alabama,1992,719,0
ala,S,Supreme Court of Alabama,1993,647,0
ala,S,Supreme Court of Alabama,1994,416,0
ala,S,Supreme Court of Alabama,1995,461,0
ala,S,Supreme Court of Alabama,1996,345,0
ala,S,Supreme Court of Alabama,1997,309,0
ala,S,Supreme Court of Alabama,1998,334,0
ala,S,Supreme Court of Alabama,1999,336,0
ala,S,Supreme Court of Alabama,2000,553,0
ala,S,Supreme Court of Alabama,2001,424,0
ala,S,Supreme Court of Alabama,2002,355,0
ala,S,Supreme Court of Alabama,2003,380,0
ala,S,Supreme Court of Alabama,2004,314,0
ala,S,Supreme Court of Alabama,2005,241,0
ala,S,Supreme Court of Alabama,2006,676,0
ala,S,Supreme Court of Alabama,2007,535,0
ala,S,Supreme Court of Alabama,2008,678,0
ala,S,Supreme Court of Alabama,2009,579,0
ala,S,Supreme Court of Alabama,2010,364,0
ala,S,Supreme Court of Alabama,2011,192,0
ala,S,Supreme Court of Alabama,2012,138,0
ala,S,Supreme Court of Alabama,2013,170,0
ala,S,Supreme Court of Alabama,2014,330,0
ala,S,Supreme Court of Alabama,2015,713,0
ala,S,Supreme Court of Alabama,2016,715,0
ala,S,Supreme Court of Alabama,2017,915,0
ala,S,Supreme Court of Alabama,2018,172,0
ala,S,Supreme Court of Alabama,2022,4,0
ala,S,Supreme Court of Alabama,2023,106,0
ala,S,Supreme Court of Alabama,2024,578,0
ala,S,Supreme Court of Alabama,2025,610,0
alacivapp,SA,Court of Civil Appeals of Alabama,1990,422,0
alacivapp,SA,Court of Civil Appeals of Alabama,1991,517,0
alacivapp,SA,Court of Civil Appeals of Alabama,1992,547,0
alacivapp,SA,Court of Civil Appeals of Alabama,1993,508,0
alacivapp,SA,Court of Civil Appeals of Alabama,1994,462,0
alacivapp,SA,Court of Civil Appeals of Alabama,1995,470,0
alacivapp,SA,Court of Civil Appeals of Alabama,1996,501,0
alacivapp,SA,Court of Civil Appeals of Alabama,1997,497,0
alacivapp,SA,Court of Civil Appeals of Alabama,1998,392,0
alacivapp,SA,Court of Civil Appeals of Alabama,1999,407,0
alacivapp,SA,Court of Civil Appeals of Alabama,2000,367,0
alacivapp,SA,Court of Civil Appeals of Alabama,2001,346,0
alacivapp,SA,Court of Civil Appeals of Alabama,2002,355,0
alacivapp,SA,Court of Civil Appeals of Alabama,2003,355,0
alacivapp,SA,Court of Civil Appeals of Alabama,2004,275,0
alacivapp,SA,Court of Civil Appeals of Alabama,2005,640,0
alacivapp,SA,Court of Civil Appeals of Alabama,2006,665,0
alacivapp,SA,Court of Civil Appeals of Alabama,2007,937,0
alacivapp,SA,Court of Civil Appeals of Alabama,2008,973,0
alacivapp,SA,Court of Civil Appeals of Alabama,2009,692,0
alacivapp,SA,Court of Civil Appeals of Alabama,2010,650,0
alacivapp,SA,Court of Civil Appeals of Alabama,2011,331,0
alacivapp,SA,Court of Civil Appeals of Alabama,2012,290,0
alacivapp,SA,Court of Civil Appeals of Alabama,2013,236,0
alacivapp,SA,Court of Civil Appeals of Alabama,2014,229,0
alacivapp,SA,Court of Civil Appeals of Alabama,2015,1143,0
alacivapp,SA,Court of Civil Appeals of Alabama,2016,1069,0
alacivapp,SA,Court of Civil Appeals of Alabama,2017,1357,0
alacivapp,SA,Court of Civil Appeals of Alabama,2018,534,0
alacivapp,SA,Court of Civil Appeals of Alabama,2022,9,0
alacivapp,SA,Court of Civil Appeals of Alabama,2023,75,0
alacivapp,SA,Court of Civil Appeals of Alabama,2024,257,0
alacivapp,SA,Court of Civil Appeals of Alabama,2025,295,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1990,531,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1991,624,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1992,590,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1993,567,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1994,480,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1995,410,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1996,325,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1997,272,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1998,229,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1999,216,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2000,251,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2001,293,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2002,223,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2003,271,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2004,210,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2005,483,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2006,842,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2007,1398,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2008,1768,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2009,702,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2010,403,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2011,114,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2012,88,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2013,90,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2014,88,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2015,1630,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2016,1564,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2017,1928,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2018,758,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2022,13,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2023,70,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2024,262,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2025,331,0
alactapp,SA,Alabama Court of Appeals,1995,3,0
alactapp,SA,Alabama Court of Appeals,1999,2,0
alaska,S,Alaska Supreme Court,1990,121,0
alaska,S,Alaska Supreme Court,1991,142,0
alaska,S,Alaska Supreme Court,1992,127,0
alaska,S,Alaska Supreme Court,1993,136,0
alaska,S,Alaska Supreme Court,1994,119,0
alaska,S,Alaska Supreme Court,1995,145,0
alaska,S,Alaska Supreme Court,1996,160,0
alaska,S,Alaska Supreme Court,1997,171,0
alaska,S,Alaska Supreme Court,1998,136,0
alaska,S,Alaska Supreme Court,1999,173,1
alaska,S,Alaska Supreme Court,2000,128,1
alaska,S,Alaska Supreme Court,2001,177,1
alaska,S,Alaska Supreme Court,2002,142,0
alaska,S,Alaska Supreme Court,2003,117,0
alaska,S,Alaska Supreme Court,2004,96,0
alaska,S,Alaska Supreme Court,2005,119,0
alaska,S,Alaska Supreme Court,2006,119,0
alaska,S,Alaska Supreme Court,2007,129,0
alaska,S,Alaska Supreme Court,2008,122,0
alaska,S,Alaska Supreme Court,2009,127,0
alaska,S,Alaska Supreme Court,2010,92,1
alaska,S,Alaska Supreme Court,2011,106,4
alaska,S,Alaska Supreme Court,2012,114,42
alaska,S,Alaska Supreme Court,2013,138,24
alaska,S,Alaska Supreme Court,2014,134,55
alaska,S,Alaska Supreme Court,2015,102,37
alaska,S,Alaska Supreme Court,2016,85,41
alaska,S,Alaska Supreme Court,2017,83,52
alaska,S,Alaska Supreme Court,2018,124,47
alaska,S,Alaska Supreme Court,2019,109,44
alaska,S,Alaska Supreme Court,2020,74,55
alaska,S,Alaska Supreme Court,2021,79,59
alaska,S,Alaska Supreme Court,2022,65,71
alaska,S,Alaska Supreme Court,2023,46,59
alaska,S,Alaska Supreme Court,2024,62,62
alaska,S,Alaska Supreme Court,2025,68,61
alaskactapp,SA,Court of Appeals of Alaska,1990,100,1
alaskactapp,SA,Court of Appeals of Alaska,1991,93,0
alaskactapp,SA,Court of Appeals of Alaska,1992,83,0
alaskactapp,SA,Court of Appeals of Alaska,1993,57,0
alaskactapp,SA,Court of Appeals of Alaska,1994,61,0
alaskactapp,SA,Court of Appeals of Alaska,1995,66,0
alaskactapp,SA,Court of Appeals of Alaska,1996,59,0
alaskactapp,SA,Court of Appeals of Alaska,1997,52,0
alaskactapp,SA,Court of Appeals of Alaska,1998,48,0
alaskactapp,SA,Court of Appeals of Alaska,1999,41,0
alaskactapp,SA,Court of Appeals of Alaska,2000,51,0
alaskactapp,SA,Court of Appeals of Alaska,2001,68,0
alaskactapp,SA,Court of Appeals of Alaska,2002,70,0
alaskactapp,SA,Court of Appeals of Alaska,2003,65,0
alaskactapp,SA,Court of Appeals of Alaska,2004,54,0
alaskactapp,SA,Court of Appeals of Alaska,2005,57,0
alaskactapp,SA,Court of Appeals of Alaska,2006,61,0
alaskactapp,SA,Court of Appeals of Alaska,2007,58,0
alaskactapp,SA,Court of Appeals of Alaska,2008,66,0
alaskactapp,SA,Court of Appeals of Alaska,2009,46,0
alaskactapp,SA,Court of Appeals of Alaska,2010,44,0
alaskactapp,SA,Court of Appeals of Alaska,2011,49,1
alaskactapp,SA,Court of Appeals of Alaska,2012,45,0
alaskactapp,SA,Court of Appeals of Alaska,2013,26,0
alaskactapp,SA,Court of Appeals of Alaska,2014,31,0
alaskactapp,SA,Court of Appeals of Alaska,2015,49,0
alaskactapp,SA,Court of Appeals of Alaska,2016,54,0
alaskactapp,SA,Court of Appeals of Alaska,2017,51,0
alaskactapp,SA,Court of Appeals of Alaska,2018,59,0
alaskactapp,SA,Court of Appeals of Alaska,2019,40,0
alaskactapp,SA,Court of Appeals of Alaska,2020,23,0
alaskactapp,SA,Court of Appeals of Alaska,2021,29,0
alaskactapp,SA,Court of Appeals of Alaska,2022,23,0
alaskactapp,SA,Court of Appeals of Alaska,2023,34,0
alaskactapp,SA,Court of Appeals of Alaska,2024,25,0
alaskactapp,SA,Court of Appeals of Alaska,2025,30,0
ariz,S,Arizona Supreme Court,1990,121,0
ariz,S,Arizona Supreme Court,1991,106,0
ariz,S,Arizona Supreme Court,1992,88,0
ariz,S,Arizona Supreme Court,1993,106,0
ariz,S,Arizona Supreme Court,1994,127,0
ariz,S,Arizona Supreme Court,1995,81,0
ariz,S,Arizona Supreme Court,1996,74,0
